STATIONS UP TRAINS,DRD 93032 12 CAR,BYR 94070 12 CAR,BYR 94070 12 CAR.1,VR 94110 12 CAR,VR 94110 12 CAR.1,GMN 94112 12 CAR,GMN 94112 12 CAR.1,BVI 94114 12 CAR,BVI 94114 12 CAR.1,BVI 90898 12 CAR,BVI 90900 12 CAR,BVI 90900 12 CAR.1,BVI 90900 12 CAR.2,GMN 90902 12 CAR,GMN 90902 12 CAR.1,VR 92176 15 CAR,VR 92176 15 CAR.1,VR 92178 15 CAR,VR 92178 15 CAR.1,VR 92178 15 CAR.2,BVI 90904 12 CAR,BVI 90904 12 CAR.1,BVI 90904 12 CAR.2,BSR 94072 12 CAR,BSR 94072 12 CAR.1,BSR 94072 12 CAR.2,BVI 90908 12 CAR,BVI 90908 12 CAR.1,BVI 90908 12 CAR.2,VR 90910 12 CAR,VR 90910 12 CAR.1,VR 90910 12 CAR.2
BANDRA,21:50,21:53,21:59,21:59,,,22:02,22:02,21:47,21:47,21:42,21:42,22:07,22:07,22:10,22:10,21:52,21:52,21:52,22:13,22:13,22:13,21:59,21:59,21:59,,,,22:20,22:20,22:20,
Mahim Jn.,21:53,21:56,22:02,22:02,,,22:05,22:05,,,,,22:10,22:10,22:13,22:13,,,,22:16,22:16,22:16,,,,,,,22:23,22:23,22:23,
Matunga Road,21:56,21:59,22:05,22:05,,,22:08,22:08,,,,,22:13,22:13,22:16,22:16,,,,22:19,22:19,22:19,,,,,,,22:26,22:26,22:26,
DADAR,22:00,22:03,22:09,22:09,,,22:12,22:12,21:53,21:53,21:50,21:50,22:17,22:17,22:20,22:20,21:58,21:58,21:58,22:23,22:23,22:23,22:06,22:06,22:06,,,,22:30,22:30,22:30,
Prabhadevi,22:02,22:05,22:11,22:11,,,22:14,22:14,,,,,22:19,22:19,22:22,22:22,,,,22:25,22:25,22:25,,,,,,,22:32,22:32,22:32,
Lower Parel,22:05,22:08,22:14,22:14,,,22:17,22:17,,,,,22:22,22:22,22:25,22:25,,,,22:28,22:28,22:28,,,,,,,22:35,22:35,22:35,
Mahalakshmi,22:08,22:11,22:17,22:17,,,22:20,22:20,,,,,22:25,22:25,22:28,22:28,,,,22:31,22:31,22:31,,,,,,,22:38,22:38,22:38,
M'BAI CENTRAL(L,22:11,22:14,22:20,22:20,,,22:23,22:23,22:00,22:00,21:57,21:57,22:28,22:28,22:31,22:31,22:05,22:05,22:05,22:34,22:34,22:34,22:13,22:13,22:13,,,,22:41,22:41,22:41,
Grant Road,22:13,22:16,22:22,22:22,,,22:25,22:25,22:02,22:02,21:59,21:59,22:30,22:30,22:33,22:33,22:07,22:07,22:07,22:36,22:36,22:36,22:15,22:15,22:15,,,,22:43,22:43,22:43,
Charni Road,22:15,22:18,22:24,22:24,,,22:27,22:27,22:04,22:04,22:01,22:01,22:32,22:32,22:35,22:35,22:09,22:09,22:09,22:38,22:38,22:38,22:17,22:17,22:17,,,,22:45,22:45,22:45,
Marine Lines,22:18,22:21,22:27,22:27,,,22:30,22:30,22:07,22:07,22:04,22:04,22:35,22:35,22:38,22:38,22:12,22:12,22:12,22:41,22:41,22:41,22:20,22:20,22:20,,,,22:48,22:48,22:48,
CHURCHGATE,22:22,22:25,22:30,22:30,,,22:33,22:33,22:12,22:12,22:08,22:08,22:39,22:39,22:42,22:42,22:16,22:16,22:16,22:45,22:45,22:45,22:24,22:24,22:24,,,,22:52,22:52,22:52,
STATIONS UP TRAINS,BSR 92184 12 CAR,VR 90940 12 CAR,VR 94074 12 CAR,VR 94074 12 CAR,VR 94074 12 CAR,VR 92186 15 CAR,VR 92186 15 CAR,BVI 90942 12 CAR,BVI 90942 12 CAR,BVI 90944 12 CAR,BVI 90944 12 CAR,VR 90946 12 CAR,VR 90946 12 CAR,GMN 90948 12 CAR,GMN 90948 12 CAR,VR 94076 12 CAR,VR 94076 12 CAR,VR 94076 12 CAR,VR 90950 12 CAR,VR 90950 12 CAR,VR 90950 12 CAR,BVI 90952 12 CAR,BVI 90952 12 CAR,BVI 90952 12 CAR,VR 92188 15 CAR,VR 92188 15 CAR,VR 92188 15 CAR,BVI 90954 12 CAR,BVI 90954 12 CAR,BVI 90954 12 CAR,BVI 90956 12 CAR,BVI 90956 12 CAR
VIRAR,,21:07,21:16,21:16,21:16,21:20,21:20,,,,,21:24,21:24,,,21:28,21:28,21:28,21:32,21:32,21:32,,,,21:36,21:36,21:36,21:39,21:39,21:39,,
Nalla Sopara,,21:13,21:22,21:22,21:22,21:26,21:26,,,,,21:30,21:30,,,21:34,21:34,21:34,21:38,21:38,21:38,,,,21:42,21:42,21:42,21:45,21:45,21:45,,
VASAI ROAD,21:19,21:19,21:27,21:27,21:27,21:31,21:31,,,,,21:35,21:35,,,21:39,21:39,21:39,21:43,21:43,21:43,,,,21:48,21:48,21:48,21:51,21:51,21:51,,
Naigaon,21:25,21:26,21:31,21:31,21:31,21:35,21:35,,,,,21:39,21:39,,,21:44,21:44,21:44,21:47,21:47,21:47,,,,21:53,21:53,21:53,21:56,21:56,21:56,,
BHAYANDAR,21:31,21:32,21:37,21:37,21:37,21:41,21:41,,,,,21:45,21:45,,,21:50,21:50,21:50,21:53,21:53,21:53,,,,21:59,21:59,21:59,22:02,22:02,22:02,,
Mira Road,21:36,21:38,21:43,21:43,21:43,21:46,21:46,,,,,21:50,21:50,,,21:55,21:55,21:55,21:58,21:58,21:58,,,,22:04,22:04,22:04,22:07,22:07,22:07,,
Dahisar,21:41,21:42,21:48,21:48,21:48,21:50,21:50,,,,,21:54,21:54,,,21:59,21:59,21:59,22:02,22:02,22:02,,,,22:09,22:09,22:09,22:11,22:11,22:11,,
BORIVALI,21:46,21:47,21:53,21:53,21:53,21:55,21:55,21:50,21:50,21:56,21:56,21:59,21:59,,,22:04,22:04,22:04,22:07,22:07,22:07,22:08,22:08,22:08,22:13,22:13,22:13,22:17,22:17,22:17,22:15,22:15
Kandivali,21:51,,Air,Air,Air,,,21:56,21:56,22:01,22:01,,,,,Air,Air,Air,,,,22:14,22:14,22:14,22:17,22:17,22:17,,,,22:20,22:20
Malad,21:54,,Condition,Condition,Condition,,,21:59,21:59,22:04,22:04,,,,,Condition,Condition,Condition,,,,22:17,22:17,22:17,22:20,22:20,22:20,,,,22:23,22:23
Goregaon,21:57,,,,,,,22:02,22:02,22:07,22:07,,,22:12,22:12,,,,,,,22:20,22:20,22:20,22:23,22:23,22:23,,,,22:26,22:26
Ram Mandir,21:59,,,,,,,22:04,22:04,22:09,22:09,,,22:15,22:15,,,,,,,22:22,22:22,22:22,22:25,22:25,22:25,,,,22:28,22:28
Jogeshwari,22:02,,,,,,,22:07,22:07,22:12,22:12,,,22:18,22:18,,,,,,,22:25,22:25,22:25,22:28,22:28,22:28,,,,22:31,22:31
ANDHERI,22:08,22:01,22:06,22:06,22:06,,,22:13,22:13,22:18,22:18,22:13,22:13,22:22,22:22,22:20,22:20,22:20,22:23,22:23,22:23,22:30,22:30,22:30,22:33,22:33,22:33,22:31,22:31,22:31,22:36,22:36
Vile Parle,,,,,,NOT ON,NOT ON,22:17,22:17,22:22,22:22,,,22:26,22:26,ON SAT,ON SAT,ON SAT,,,,22:33,22:33,22:33,,,,,,,22:39,22:39
Santa Cruz,,,,,,SUN,SUN,22:20,22:20,22:25,22:25,,,22:29,22:29,& SUN,& SUN,& SUN,,,,22:36,22:36,22:36,,,,,,,22:42,22:42
Khar Road,,,,,,ONLY,ONLY,22:23,22:23,22:28,22:28,,,22:32,22:32,NON AC,NON AC,NON AC,,,,22:39,22:39,22:39,,,,,,,22:45,22:45
BANDRA,,22:10,22:14,22:14,22:14,,,22:28,22:28,22:33,22:33,22:22,22:22,22:37,22:37,22:29,22:29,22:29,22:33,22:33,22:33,22:43,22:43,22:43,,,,22:41,22:41,22:41,22:49,22:49
Mahim Jn.,,,,,,,,22:31,22:31,22:36,22:36,,,22:40,22:40,,,,,,,22:46,22:46,22:46,NOT ON,NOT ON,NOT ON,,,,22:52,22:52
Matunga Road,,,,,,,,22:34,22:34,22:39,22:39,,,22:43,22:43,,,,,,,22:49,22:49,22:49,SUN,SUN,SUN,,,,22:55,22:55
DADAR,,22:16,22:19,22:19,22:19,,,22:38,22:38,22:43,22:43,22:28,22:28,22:48,22:48,22:35,22:35,22:35,22:39,22:39,22:39,22:53,22:53,22:53,,,,22:47,22:47,22:47,22:59,22:59
Prabhadevi,,,,,,,,22:40,22:40,22:45,22:45,,,22:50,22:50,,,,,,,22:55,22:55,22:55,,,,,,,23:01,23:01
Lower Parel,,,,,,,,22:43,22:43,22:48,22:48,,,22:53,22:53,,,,,,,22:58,22:58,22:58,,,,,,,23:04,23:04
Mahalakshmi,,,,,,,,22:46,22:46,22:51,22:51,,,22:56,22:56,,,,,,,23:01,23:01,23:01,,,,,,,23:07,23:07
M'BAI CENTRAL(L,,22:23,22:26,22:26,22:26,,,22:49,22:49,22:54,22:54,22:35,22:35,22:59,22:59,22:42,22:42,22:42,22:46,22:46,22:46,23:04,23:04,23:04,,,,22:54,22:54,22:54,23:10,23:10
Grant Road,,22:25,22:28,22:28,22:28,,,22:51,22:51,22:56,22:56,22:37,22:37,23:01,23:01,22:44,22:44,22:44,22:48,22:48,22:48,23:06,23:06,23:06,,,,22:56,22:56,22:56,23:12,23:12
Charni Road,,22:27,22:30,22:30,22:30,,,22:53,22:53,22:58,22:58,22:39,22:39,23:03,23:03,22:46,22:46,22:46,22:50,22:50,22:50,23:08,23:08,23:08,,,,22:58,22:58,22:58,23:14,23:14
Marine Lines,,22:30,22:33,22:33,22:33,,,22:56,22:56,23:01,23:01,22:42,22:42,23:06,23:06,22:49,22:49,22:49,22:53,22:53,22:53,23:11,23:11,23:11,,,,23:01,23:01,23:01,23:17,23:17
CHURCHGATE,,22:35,22:38,22:38,22:38,,,23:00,23:00,23:05,23:05,22:47,22:47,23:09,23:09,22:52,22:52,22:52,22:59,22:59,22:59,23:15,23:15,23:15,,,,23:05,23:05,23:05,23:21,23:21
